Utterance,Groundtruth,Google result
48_Nghia_mic/audio_server/A114931977#25#9005550621584277.wav,mở danh sách nhạc yêu thích,mở danh sách nhạc youtube
48_Nghia_mic/audio_server/A114931977#25#9005550621551891.wav,mở nhạc rì mít,mở nhạc remix
48_Nghia_mic/audio_server/A114931977#25#9005550621531192.wav,mở nhạc không lời trong hai mươi phút,mở nhạc không lời trong 20 phút
48_Nghia_mic/audio_server/A114931977#25#9005550621524203.wav,thêm bài đang phát vào danh sách nhạc yêu thích,tìm bài đang phát vào danh sách nhạc yêu thích
48_Nghia_mic/audio_server/A114931977#25#9005550621459282.wav,tắt nhạc sau một giờ,tắt nhạc sau 1 giờ
48_Nghia_mic/audio_server/A114931977#25#9005550621447692.wav,chỉnh nhiệt độ máy lạnh hai bốn độ,chỉnh nhiệt độ máy lạnh 24 độ
48_Nghia_mic/audio_server/A114931977#25#9005550621435842.wav,giảm nhiệt độ máy lạnh hai độ,giảm nhiệt độ máy lạnh 2 độ
48_Nghia_mic/audio_server/A114931977#25#9005550621430281.wav,tắt tiếng ti vi phòng khách,tắt tiếng tivi phòng khách
48_Nghia_mic/audio_server/A114931977#25#9005550621402099.wav,kể truyện cười,kể chuyện cười
48_Nghia_mic/audio_server/A114931977#25#9005550621397516.wav,kể truyện tấm cám,kể chuyện tấm cám
48_Nghia_mic/audio_server/A114931977#25#9005550621392432.wav,kể truyện cổ tích trong một giờ,kể chuyện cổ tích trong một giờ
48_Nghia_mic/audio_server/A114931977#25#9005550621386293.wav,tắt kể truyện sau ba mươi phút,tập kể chuyện sau 30 phút
48_Nghia_mic/audio_server/A114931977#25#9005550621381323.wav,kể truyện thạch sùng,kể chuyện thạch sùng
48_Nghia_mic/audio_server/A114931977#25#9005550621376998.wav,kể truyện thánh gióng,kể chuyện thánh gióng
48_Nghia_mic/audio_server/A114931977#25#9005550621372291.wav,kể truyện sự tích cây vú sữa,kể chuyện sự tích cây vú sữa
48_Nghia_mic/audio_server/A114931977#25#9005550621362417.wav,kể truyện trí khôn của ta đây,kể chuyện trí khôn của ta đây
48_Nghia_mic/audio_server/A114931977#25#9005550621350081.wav,bật bờ lu tút,bật bluetooth
48_Nghia_mic/audio_server/A114931977#25#9005550621344860.wav,tăng âm lượng lên mức mười,tăng âm lượng d10
48_Nghia_mic/audio_server/A114931977#25#9005550621340076.wav,giảm âm lượng về mức bốn,giảm âm lượng về mất 4
48_Nghia_mic/audio_server/A114931977#25#9005550621335413.wav,tắt bờ lu tút,tắt bluetooth
48_Nghia_mic/audio_server/A114931977#25#9005550621325202.wav,ba mươi tháng tư hai không hai hai là thứ mấy,30 tháng 04 năm 2022 là thứ mấy
48_Nghia_mic/audio_server/A114931977#25#9005550621314661.wav,tết nguyên đán hai không hai ba ngày dương bao nhiêu,tết nguyên đán 2023 ngày dương bao nhiêu
48_Nghia_mic/audio_server/A114931977#25#9005550621288519.wav,tháng này có ba mốt ngày không,tháng này có 31 ngày không
48_Nghia_mic/audio_server/A114931977#25#9005550621270473.wav,con vịt kêu như thế nào,công việc yêu như thế nào
48_Nghia_mic/audio_server/A114931977#25#9005550621265354.wav,con bò kêu sao,con bò kêu sơn
48_Nghia_mic/audio_server/A114931977#25#9005550621219204.wav,mở ra đi ô,mở radio
48_Nghia_mic/audio_server/A114931977#25#9005550621214326.wav,bật rây đi ô tần số ép em chín bảy mê ga héc,bật radio tần số fm 90mhz
48_Nghia_mic/audio_server/A114931977#25#9005550621203799.wav,đổi kênh khác,đổi kênh pháp
48_Nghia_mic/audio_server/A114931977#25#9005550621137375.wav,mở pháp thoại,mở file
48_Nghia_mic/audio_server/A114931977#25#9005550621120796.wav,tắt pháp thoại đi,tắt điện thoại đi
48_Nghia_mic/audio_server/A114931977#25#9005550621111685.wav,ai đang đọc pháp thoại vậy,ai đang đọc pháp thôi vậy
48_Nghia_mic/audio_server/A114931977#25#9005550621106780.wav,mở bót cát thì thầm,mở podcast system
48_Nghia_mic/audio_server/A114931977#25#9005550621101679.wav,mở bót cát giải trí,mở podcast giải trí
48_Nghia_mic/audio_server/A114931977#25#9005550621096318.wav,gọi tôi dậy vào lúc bảy giờ ngày mai,gọi tôi dậy vào lúc 7 ngày mai
48_Nghia_mic/audio_server/A114931977#25#9005550621084480.wav,nhắc tôi đi ngủ vào lúc mười một giờ đêm nay,nhắc tôi đi ngủ vào lúc 11 giờ đêm nay
48_Nghia_mic/audio_server/A114931977#25#9005550621078366.wav,nhắc tôi đi tập thể dục vào lúc tám giờ tối nay,nhắc tôi đi tập thể dục vào lúc 8 giờ tối nay
48_Nghia_mic/audio_server/A114931977#25#9005550621071685.wav,ba mươi phút nữa nhắc tôi phơi đồ,30 phút nữa nhắc tôi phơi đồ
48_Nghia_mic/audio_server/A114931977#25#9005550621066625.wav,nhắc tôi có hẹn vào lúc bảy giờ tối nay,nhắc tôi có hẹn vào lúc 7 giờ tối nay
48_Nghia_mic/audio_server/A114931977#25#9005550621061035.wav,nhắc tôi nấu cơm vào lúc mười một giờ,nhắc tôi nấu cơm vào lúc 11
48_Nghia_mic/audio_server/A114931977#25#9005550621041123.wav,nhắc tôi đi chơi vào lúc chín giờ,nhắc tôi đi chơi vào lúc 9 giờ
48_Nghia_mic/audio_server/A114931977#25#9005550621036332.wav,nhắc tôi ăn trưa sau hai mươi phút nữa,nhắc tôi ăn trưa sau 20 phút nữa
48_Nghia_mic/audio_server/A114931977#25#9005550621031043.wav,nhắc tôi học tiếng anh vào lúc tám giờ tối,nhắc tôi học tiếng anh vào lúc 8 giờ tối
48_Nghia_mic/audio_server/A114931977#25#9005550621025551.wav,nhắc tôi bỏ đồ vào máy giặt lúc mười giờ,nhắc tôi bỏ đồ vào máy giặt lúc 10 giờ
48_Nghia_mic/audio_server/A114931977#25#9005550621019943.wav,nhắc tôi đem áo mưa vào tám giờ sáng mai,nhắc tôi đem áo mưa vào 8 giờ sáng mai
48_Nghia_mic/audio_server/A114931977#25#9005550621004692.wav,thời tiết quận ba bây giờ,thời tiết quận 3 bây giờ
48_Nghia_mic/audio_server/A114931977#25#9005550620995525.wav,nhiệt độ ngoài trời quận ba hiện tại là bao nhiêu,nhiệt độ ngoài trời quận 3 hiện tại là bao nhiêu
48_Nghia_mic/audio_server/A114931977#25#9005550620943597.wav,hiền hồ là ai,tìm hồ là ai
48_Nghia_mic/audio_server/A114931977#25#9005550620929839.wav,dịch câu tao không sợ ra tiếng hán,dịch câu tao không sợ tiếng hán
48_Nghia_mic/audio_server/A114931977#25#9005550620901354.wav,tám bình cộng mười hai bằng bao nhiêu,tam bình có 12 bằng bao nhiêu
48_Nghia_mic/audio_server/A114931977#25#9005550620891139.wav,triệu chứng hậu cô vít,triệu chứng hậu kovac
48_Nghia_mic/audio_server/A114931977#25#9005550620877714.wav,quê hương của nô bi ta ở đâu,quê hương của nobita ở đâu
